
"Nandi Awards
","Best Editor
","Kotagiri Venkateswara Rao
","Won
","[9]
"
"Best Male Dubbing Artist
","R C M Raju
","Won
","[9]
"
"58th Filmfare Awards South
","Best Actress
","Kajal Aggarwal
","Nominated
","
"
"CineMAA Awards
","Best Actor (Jury)
","Prabhas
","Won
","[9]
"
"Santosham Film Awards
","Best Cinematographer
","Andrew
","Won
","[9]
"
"Mirchi Music Awards South
","Best Playback Singer Male
","Sooraj Santhosh
","Won
","
"
